visit_grid,ses1_fre,ses2_fre,ses3_fre,ses4_fre
171695,959.0,1661.0,3689.0,1311.0
171696,2464.0,3847.0,6593.0,3516.0
171697,1107.0,2124.0,5008.0,2279.0
171698,2288.0,3608.0,6240.0,3752.0
171699,730.0,1187.0,2594.0,1553.0
171700,2556.0,3456.0,6880.0,4082.0
171701,1416.0,2754.0,4555.0,3360.0
171702,1494.0,2424.0,3861.0,1838.0
171703,800.0,1327.0,3383.0,1523.0
171704,774.0,1502.0,2932.0,1394.0
171705,474.0,742.0,1639.0,857.0
171706,286.0,602.0,793.0,473.0
171707,256.0,651.0,1090.0,563.0
171708,191.0,635.0,778.0,296.0
171709,221.0,535.0,862.0,381.0
171710,185.0,718.0,647.0,391.0
171711,642.0,1279.0,1516.0,746.0
171712,1678.0,2855.0,2581.0,1245.0
171713,1111.0,2975.0,1853.0,1155.0
171714,1480.0,3595.0,3906.0,2073.0
171715,1242.0,3749.0,3364.0,1423.0
171716,1940.0,4168.0,3437.0,2036.0
171717,3147.0,6255.0,5067.0,3441.0
171718,1864.0,3995.0,3371.0,2513.0
171719,2064.0,3568.0,2936.0,1509.0
171720,999.0,1883.0,1374.0,964.0
171721,1119.0,2074.0,1620.0,922.0
171722,2225.0,3185.0,2778.0,1546.0
171723,2588.0,4152.0,2974.0,1915.0
171724,2416.0,4053.0,3225.0,1544.0
171725,9204.0,13528.0,9944.0,4508.0
171726,2336.0,3896.0,3272.0,1820.0
171727,2995.0,4394.0,2817.0,1283.0
171728,1655.0,2091.0,1555.0,795.0
171729,418.0,516.0,377.0,181.0
171730,440.0,693.0,406.0,57.0
171731,822.0,762.0,542.0,256.0
171732,237.0,156.0,71.0,48.0
171733,42.0,102.0,97.0,37.0
171734,133.0,181.0,118.0,77.0
171735,38.0,78.0,59.0,33.0
171736,50.0,41.0,35.0,22.0
171737,10.0,29.0,43.0,42.0
171738,24.0,21.0,18.0,12.0
171739,17.0,18.0,15.0,5.0
171740,26.0,19.0,22.0,12.0
171741,14.0,19.0,14.0,16.0
171742,7.0,25.0,8.0,10.0
171743,16.0,22.0,10.0,35.0
171744,32.0,12.0,37.0,19.0
171745,23.0,32.0,25.0,8.0
171746,68.0,24.0,71.0,37.0
171747,109.0,53.0,29.0,31.0
171748,41.0,56.0,49.0,11.0
171749,47.0,38.0,21.0,24.0
171750,31.0,57.0,17.0,41.0
171751,105.0,74.0,17.0,33.0
171752,58.0,34.0,34.0,37.0
171753,94.0,128.0,277.0,256.0
171754,117.0,116.0,46.0,63.0
171755,112.0,161.0,107.0,94.0
171756,110.0,53.0,80.0,92.0
171757,67.0,51.0,56.0,36.0
171758,60.0,45.0,8.0,24.0
171759,36.0,35.0,4.0,6.0
171760,37.0,11.0,7.0,13.0
171761,124.0,69.0,83.0,56.0
171762,43.0,43.0,51.0,11.0
171763,20.0,29.0,9.0,16.0
171764,23.0,14.0,9.0,13.0
171765,24.0,22.0,12.0,4.0
171766,27.0,40.0,12.0,11.0
171767,45.0,94.0,34.0,48.0
171768,186.0,305.0,191.0,146.0
171769,339.0,371.0,194.0,143.0
171770,320.0,118.0,145.0,88.0
171771,156.0,131.0,30.0,32.0
171772,32.0,33.0,34.0,39.0
171773,15.0,28.0,16.0,10.0
171774,27.0,18.0,4.0,4.0
171775,24.0,15.0,34.0,16.0
171776,13.0,16.0,35.0,3.0
171777,77.0,24.0,16.0,24.0
171778,139.0,54.0,26.0,8.0
171779,363.0,256.0,226.0,53.0
171780,67.0,65.0,13.0,14.0
171781,169.0,56.0,64.0,26.0
171782,229.0,38.0,15.0,6.0
171783,166.0,12.0,39.0,8.0
171784,71.0,18.0,6.0,6.0
171785,56.0,42.0,13.0,5.0
171786,187.0,63.0,26.0,13.0
171787,73.0,15.0,27.0,14.0
171788,74.0,20.0,14.0,14.0
171789,77.0,84.0,24.0,56.0
171790,202.0,99.0,68.0,36.0
171791,1157.0,464.0,287.0,179.0
171792,244.0,131.0,92.0,26.0
171793,238.0,21.0,18.0,5.0
171794,82.0,14.0,2.0,48.0
171795,171.0,8.0,11.0,3.0
171796,38.0,47.0,10.0,1.0
171797,65.0,13.0,7.0,23.0
171798,25.0,7.0,26.0,34.0
172301,71.0,27.0,20.0,36.0
172302,51.0,6.0,10.0,5.0
172303,5.0,3.0,7.0,1.0
172304,27.0,3.0,2.0,3.0
172305,5.0,2.0,6.0,3.0
172306,24.0,1.0,7.0,7.0
172307,7.0,1.0,6.0,0.0
172308,12.0,0.0,1.0,10.0
172310,1.0,2.0,0.0,7.0
172311,2.0,1.0,0.0,1.0
172314,3.0,1.0,2.0,4.0
172315,0.0,3.0,1.0,0.0
172319,7.0,16.0,8.0,3.0
172320,1.0,1.0,2.0,0.0
172321,0.0,0.0,0.0,13.0
172322,1.0,1.0,1.0,1.0
172323,0.0,1.0,2.0,4.0
172324,4.0,0.0,0.0,0.0
172326,0.0,3.0,1.0,0.0
172327,1.0,2.0,2.0,7.0
172328,7.0,17.0,16.0,15.0
172329,20.0,24.0,13.0,17.0
172330,39.0,41.0,48.0,55.0
172331,134.0,186.0,174.0,186.0
172332,339.0,448.0,486.0,459.0
172333,487.0,589.0,660.0,604.0
172334,588.0,569.0,763.0,690.0
172335,433.0,624.0,644.0,731.0
172336,335.0,435.0,551.0,589.0
172337,251.0,370.0,396.0,604.0
172338,261.0,359.0,376.0,481.0
172339,174.0,234.0,250.0,336.0
172340,104.0,229.0,229.0,237.0
172341,95.0,244.0,297.0,325.0
172342,128.0,177.0,154.0,164.0
172343,99.0,142.0,170.0,183.0
172344,95.0,157.0,229.0,157.0
172345,165.0,176.0,243.0,216.0
172346,115.0,161.0,218.0,189.0
172347,58.0,126.0,110.0,91.0
172348,45.0,100.0,62.0,129.0
172349,46.0,62.0,73.0,71.0
172350,28.0,47.0,62.0,106.0
172351,57.0,84.0,89.0,163.0
172352,34.0,123.0,93.0,301.0
172353,35.0,86.0,208.0,44.0
172354,46.0,70.0,63.0,93.0
172355,37.0,40.0,96.0,152.0
172356,38.0,96.0,177.0,129.0
172357,59.0,46.0,168.0,158.0
172358,54.0,83.0,239.0,287.0
172359,36.0,34.0,80.0,102.0
172360,36.0,32.0,89.0,105.0
172361,26.0,44.0,116.0,99.0
172362,48.0,72.0,170.0,208.0
172363,244.0,309.0,617.0,640.0
172364,1014.0,1401.0,2446.0,2728.0
172365,1511.0,2041.0,3339.0,3637.0
172366,621.0,873.0,1518.0,1675.0
172367,228.0,308.0,491.0,531.0
172368,135.0,167.0,283.0,385.0
172369,102.0,66.0,213.0,262.0
172370,172.0,151.0,388.0,630.0
172371,477.0,576.0,1653.0,1935.0
172372,1790.0,2045.0,4427.0,4365.0
172373,1406.0,1976.0,3326.0,3323.0
172374,738.0,1296.0,2574.0,3372.0
172375,943.0,1483.0,3381.0,4508.0
172376,1290.0,2796.0,5560.0,7069.0
172377,979.0,1484.0,3777.0,5027.0
172378,602.0,882.0,1756.0,2824.0
172379,680.0,1018.0,2453.0,5223.0
172380,1229.0,1679.0,4415.0,4976.0
172381,830.0,1229.0,1980.0,3340.0
172382,1668.0,2182.0,4546.0,5138.0
172383,6613.0,7160.0,13538.0,11763.0
172384,2320.0,2859.0,4240.0,3975.0
172385,2064.0,2017.0,5758.0,5362.0
172386,1583.0,2019.0,5535.0,4625.0
172387,1504.0,1440.0,3194.0,2720.0
172388,1980.0,2956.0,5782.0,4268.0
172389,591.0,969.0,2283.0,2009.0
172390,1391.0,2269.0,4057.0,3953.0
172391,2336.0,2902.0,5565.0,4126.0
172392,521.0,744.0,1658.0,1527.0
172393,647.0,730.0,2029.0,1613.0
172394,1587.0,1768.0,3761.0,3276.0
172395,2711.0,3933.0,6322.0,4335.0
172396,1200.0,1706.0,2711.0,2281.0
172397,659.0,618.0,1218.0,982.0
172398,252.0,376.0,970.0,848.0
172399,433.0,647.0,2076.0,1216.0
172400,635.0,887.0,1938.0,1333.0
172401,501.0,644.0,1326.0,862.0
172402,273.0,624.0,1004.0,527.0
172403,445.0,665.0,1155.0,778.0
172404,770.0,1012.0,2061.0,1121.0
172405,360.0,620.0,1722.0,864.0
172406,865.0,1427.0,2747.0,1821.0
172407,946.0,1798.0,2836.0,1813.0
172408,463.0,675.0,1586.0,792.0
172409,730.0,1145.0,2563.0,1297.0
172410,2401.0,3616.0,6628.0,3226.0
172411,1792.0,2542.0,4159.0,2061.0
172412,4877.0,7721.0,12074.0,8099.0
172413,1610.0,2940.0,6026.0,3210.0
172414,4859.0,7566.0,9540.0,6648.0
172415,3374.0,4939.0,5896.0,4649.0
172416,1395.0,2871.0,4178.0,2436.0
172417,1252.0,1895.0,2355.0,1578.0
172418,984.0,1301.0,1903.0,1167.0
172419,422.0,676.0,822.0,683.0
172420,152.0,321.0,426.0,283.0
172421,99.0,366.0,390.0,166.0
172422,120.0,272.0,320.0,257.0
172423,157.0,275.0,486.0,288.0
172424,229.0,720.0,1006.0,384.0
172425,408.0,943.0,1242.0,636.0
172426,930.0,2242.0,2549.0,1203.0
172427,979.0,2026.0,1844.0,1041.0
172428,1185.0,2408.0,2036.0,1000.0
172429,1244.0,2616.0,2310.0,1133.0
172430,1427.0,3164.0,3241.0,1350.0
172431,1466.0,3657.0,3049.0,1623.0
172432,2727.0,4551.0,4089.0,2263.0
172433,4490.0,6923.0,6059.0,2996.0
172434,1575.0,3428.0,2376.0,1131.0
172435,1658.0,3380.0,2029.0,1507.0
172436,1473.0,2587.0,2030.0,1215.0
172437,1418.0,2031.0,1758.0,1144.0
172438,731.0,1415.0,905.0,545.0
172439,1282.0,2429.0,1409.0,1138.0
172440,2278.0,3974.0,3038.0,1801.0
172441,1317.0,1856.0,1346.0,842.0
172442,10023.0,13819.0,8811.0,4480.0
172443,493.0,931.0,704.0,538.0
172444,515.0,988.0,608.0,406.0
172445,592.0,903.0,584.0,443.0
172446,331.0,400.0,337.0,134.0
172447,139.0,80.0,146.0,113.0
172448,151.0,155.0,180.0,87.0
172449,110.0,117.0,77.0,39.0
172450,47.0,63.0,29.0,15.0
172451,35.0,34.0,69.0,13.0
172452,20.0,18.0,10.0,5.0
172453,12.0,23.0,15.0,13.0
172454,37.0,18.0,30.0,7.0
172455,36.0,14.0,14.0,19.0
172456,64.0,38.0,10.0,7.0
172457,17.0,14.0,16.0,7.0
172458,19.0,14.0,13.0,21.0
172459,14.0,43.0,77.0,61.0
172460,99.0,206.0,97.0,46.0
172461,159.0,53.0,21.0,32.0
172462,88.0,96.0,83.0,115.0
172463,18.0,15.0,2.0,12.0
172464,80.0,38.0,23.0,8.0
172465,131.0,86.0,61.0,53.0
172466,103.0,89.0,17.0,20.0
172467,214.0,225.0,108.0,64.0
172468,35.0,63.0,29.0,50.0
172469,206.0,258.0,274.0,133.0
172470,69.0,76.0,74.0,142.0
172471,129.0,88.0,58.0,29.0
172472,67.0,32.0,20.0,13.0
172473,86.0,47.0,51.0,28.0
172474,19.0,19.0,20.0,6.0
172475,69.0,16.0,9.0,23.0
172476,81.0,75.0,82.0,63.0
172477,27.0,16.0,77.0,11.0
172478,89.0,33.0,40.0,7.0
172479,42.0,59.0,27.0,22.0
172480,69.0,42.0,44.0,27.0
172481,132.0,122.0,62.0,67.0
172482,834.0,821.0,652.0,423.0
172483,1207.0,1092.0,595.0,542.0
172484,531.0,372.0,247.0,114.0
172485,211.0,112.0,97.0,69.0
172486,37.0,21.0,21.0,22.0
172487,26.0,27.0,9.0,9.0
172488,50.0,19.0,18.0,5.0
172489,19.0,13.0,13.0,17.0
172490,12.0,12.0,19.0,11.0
172491,26.0,5.0,3.0,0.0
172492,23.0,29.0,36.0,2.0
