home_grid,age,gender,is_local,ses,avg_dis
143123,a5,1,Y,99,7.49
143123,a5,2,Y,99,5.153
143123,a6,1,N,99,2.802
143123,a6,1,Y,99,5.31
143123,a6,2,N,99,4.387
143123,a6,2,Y,99,3.539
143123,a7,1,N,99,2.788
143123,a7,1,Y,99,4.145
143123,a7,2,Y,99,1.838
143126,a1,1,N,95,4.11
143126,a1,1,Y,95,1.586
143126,a2,1,N,95,6.787
143126,a2,1,Y,95,4.68
143126,a2,2,N,95,2.629
143126,a2,2,Y,95,3.91
143126,a3,1,N,95,4.306
143126,a3,1,Y,95,5.943
143126,a3,2,Y,95,5.158
143126,a4,1,N,95,6.475
143126,a4,1,Y,95,8.893
143126,a4,2,N,95,6.084
143126,a4,2,Y,95,5.126
143126,a5,1,N,95,10.552
143126,a5,1,Y,95,6.216
143126,a5,2,N,95,4.001
143126,a5,2,Y,95,3.401
143126,a6,1,N,95,5.043
143126,a6,1,Y,95,6.479
143126,a6,2,N,95,7.053
143126,a6,2,Y,95,3.807
143126,a7,1,N,95,4.614
143126,a7,1,Y,95,2.185
143126,a7,2,Y,95,3.053
143127,a1,1,Y,92,1.714
143127,a1,2,Y,92,4.6
143127,a2,1,N,92,4.002
143127,a2,1,Y,92,3.593
143127,a2,2,N,92,3.07
143127,a2,2,Y,92,5.998
143127,a3,1,N,92,6.268
143127,a3,1,Y,92,5.345
143127,a3,2,N,92,5.251
143127,a3,2,Y,92,5.834
143127,a4,1,N,92,5.428
143127,a4,1,Y,92,6.054
143127,a4,2,N,92,4.502
143127,a4,2,Y,92,6.777
143127,a5,1,N,92,6.186
143127,a5,1,Y,92,5.517
143127,a5,2,N,92,3.29
143127,a5,2,Y,92,6.066
143127,a6,1,N,92,2.716
143127,a6,1,Y,92,4.985
143127,a6,2,N,92,2.516
143127,a6,2,Y,92,5.942
143127,a7,1,N,92,4.878
143127,a7,1,Y,92,4.155
143127,a7,2,N,92,1.032
143127,a7,2,Y,92,5.964
143128,a1,1,Y,99,12.157
143128,a1,2,Y,99,10.006
143128,a2,1,Y,99,4.743
143128,a2,2,Y,99,5.52
143128,a3,1,N,99,4.086
143128,a3,1,Y,99,7.952
143128,a3,2,N,99,6.457
143128,a3,2,Y,99,8.066
143128,a4,1,N,99,4.209
143128,a4,1,Y,99,6.23
143128,a4,2,N,99,7.248
143128,a4,2,Y,99,5.805
143128,a5,1,N,99,0.579
143128,a5,1,Y,99,4.625
143128,a5,2,N,99,7.073
143128,a5,2,Y,99,7.41
143128,a6,1,N,99,17.581
143128,a6,1,Y,99,5.201
143128,a6,2,N,99,2.358
143128,a6,2,Y,99,5.466
143128,a7,1,N,99,1.529
143128,a7,1,Y,99,7.322
143128,a7,2,N,99,2.059
143128,a7,2,Y,99,4.783
143129,a1,1,Y,99,4.76
143129,a2,1,N,99,7.414
143129,a2,1,Y,99,4.284
143129,a2,2,N,99,8.408
143129,a2,2,Y,99,7.853
143129,a3,1,N,99,4.921
143129,a3,1,Y,99,6.332
143129,a3,2,N,99,1.115
143129,a3,2,Y,99,6.224
143129,a4,1,N,99,3.195
143129,a4,1,Y,99,8.574
143129,a4,2,N,99,3.052
143129,a4,2,Y,99,7.825
143129,a5,1,N,99,6.72
143129,a5,1,Y,99,5.918
143129,a5,2,N,99,4.775
143129,a5,2,Y,99,5.079
143129,a6,1,N,99,2.403
143129,a6,1,Y,99,8.443
143129,a6,2,N,99,9.328
143129,a6,2,Y,99,8.519
143129,a7,1,N,99,2.716
143129,a7,1,Y,99,8.653
143129,a7,2,Y,99,8.313
143130,a1,1,N,100,1.359
143130,a1,1,Y,100,4.471
143130,a2,1,N,100,4.219
143130,a2,1,Y,100,4.306
143130,a2,2,N,100,4.277
143130,a2,2,Y,100,6.317
143130,a3,1,N,100,5.761
143130,a3,1,Y,100,6.291
143130,a3,2,N,100,6.99
143130,a3,2,Y,100,6.107
143130,a4,1,N,100,4.283
143130,a4,1,Y,100,6.643
143130,a4,2,N,100,5.635
143130,a4,2,Y,100,3.774
143130,a5,1,N,100,8.118
143130,a5,1,Y,100,6.184
143130,a5,2,N,100,7.123
143130,a5,2,Y,100,4.998
143130,a6,1,N,100,5.923
143130,a6,1,Y,100,4.49
143130,a6,2,N,100,5.904
143130,a6,2,Y,100,5.973
143130,a7,1,N,100,6.772
143130,a7,1,Y,100,5.931
143130,a7,2,N,100,7.006
143130,a7,2,Y,100,3.933
143131,a1,1,N,95,17.003
143131,a1,1,Y,95,2.922
143131,a2,1,N,95,7.067
143131,a2,1,Y,95,7.306
143131,a2,2,N,95,17.441
143131,a2,2,Y,95,5.349
143131,a3,1,N,95,6.169
143131,a3,1,Y,95,6.169
143131,a3,2,N,95,9.692
143131,a3,2,Y,95,5.532
143131,a4,1,N,95,5.384
143131,a4,1,Y,95,4.261
143131,a4,2,N,95,4.326
143131,a4,2,Y,95,6.652
143131,a5,1,N,95,3.8
143131,a5,1,Y,95,5.352
143131,a5,2,N,95,9.64
143131,a5,2,Y,95,5.805
143131,a6,1,Y,95,6.017
143131,a6,2,N,95,6.986
143131,a6,2,Y,95,2.157
143131,a7,1,Y,95,5.634
143131,a7,2,N,95,0.881
143131,a7,2,Y,95,2.556
143133,a2,1,N,73,10.353
143133,a2,1,Y,73,9.503
143133,a2,2,N,73,5.902
143133,a2,2,Y,73,2.025
143133,a3,1,N,73,3.34
143133,a3,1,Y,73,4.595
143133,a3,2,N,73,3.582
143133,a3,2,Y,73,4.532
143133,a4,1,N,73,4.499
143133,a4,1,Y,73,6.261
143133,a4,2,N,73,0.978
143133,a4,2,Y,73,7.875
143133,a5,1,N,73,7.226
143133,a5,1,Y,73,3.554
143133,a5,2,N,73,1.474
143133,a5,2,Y,73,5.006
143133,a6,1,Y,73,5.305
143133,a6,2,N,73,1.654
